,function,approach,len,mean,median,std,mse
0,compression,Multi_Region\neptune,749.0,1.1845282443257688,1.099025,0.6428162727255714,98.81547175567424
1,compression,Multi_Region\vsvbp,552.0,1.186026385869563,1.11544,0.7593058097714342,98.81397361413045
2,compression,Multi_Region\mcf,636.0,1.0973287657232704,1.05288,0.6264119590766942,98.90267123427672
3,compression,Multi_Region\cr-o,478.0,1.2448560143611311,1.2854694143715633,0.5855560956775231,98.75514398563888
4,compression,Multi_Region\cr-h,632.0,1.2201916851265815,1.1607049999999999,0.6120300643157924,98.7798083148734
5,dynamic-html,Multi_Region\neptune,747.0,1.818139879518073,1.8360149999999997,0.8434528600575985,98.18186012048193
6,dynamic-html,Multi_Region\vsvbp,580.0,1.5093315431034484,1.584475,0.8079892920716769,98.49066845689654
7,dynamic-html,Multi_Region\mcf,651.0,1.5566877265745016,1.6951849999999997,0.8341443828870702,98.44331227342549
8,dynamic-html,Multi_Region\cr-o,581.0,1.6354283980475792,1.5822518973973991,0.8241532797399808,98.36457160195242
9,dynamic-html,Multi_Region\cr-h,554.0,1.718941949458485,1.7639549999999997,0.7479440544512533,98.2810580505415
10,graph-bfs,Multi_Region\neptune,648.0,3.1645800617283943,3.1735675,0.751278701463345,96.83541993827161
11,graph-bfs,Multi_Region\vsvbp,509.0,3.552140000000003,3.4335700000000005,1.4207247652224912,96.44786
12,graph-bfs,Multi_Region\mcf,549.0,2.9254315573770477,2.94319,0.6717933962204164,97.07456844262295
13,graph-bfs,Multi_Region\cr-o,638.0,2.0699199560681927,2.015790562360145,0.5107739390375291,97.9300800439318
14,graph-bfs,Multi_Region\cr-h,650.0,2.017165330769231,2.0973125,0.49356576972648564,97.98283466923077
15,graph-mst,Multi_Region\neptune,577.0,1.9326555545927229,1.9574349999999998,0.629006516740581,98.06734444540729
16,graph-mst,Multi_Region\vsvbp,521.0,1.9785723608445287,1.811795,1.0338973290855353,98.02142763915546
17,graph-mst,Multi_Region\mcf,620.0,1.4249206129032266,1.419375,0.500189193547684,98.57507938709678
18,graph-mst,Multi_Region\cr-o,622.0,1.2860864077126055,1.3168843954003968,0.3845459320592531,98.71391359228738
19,graph-mst,Multi_Region\cr-h,645.0,1.3275633410852703,1.33015,0.33493788397594965,98.67243665891472
20,thumbnailer,Multi_Region\neptune,740.0,2.5304796554054056,2.6429699999999996,1.1851952109836723,97.4695203445946
21,thumbnailer,Multi_Region\vsvbp,511.0,2.094260127201567,1.89436,1.1827609156214358,97.90573987279843
22,thumbnailer,Multi_Region\mcf,593.0,2.288569620573356,2.1962949999999997,0.9799598707096363,97.71143037942664
23,thumbnailer,Multi_Region\cr-o,501.0,2.5295868472443757,2.527589803840246,1.3116711256043374,97.47041315275563
24,thumbnailer,Multi_Region\cr-h,837.0,2.440060238948629,2.288135,1.1585451805141374,97.5599397610514
