,function,approach,sum,len,mean,median,min,max,std,mse,ratio,network_delay,network_delay_sdv
0,compression,Single-Region\neptune,998.0,3429.0,216.6033179318266,95.84337103174602,27.645310037348274,2261.7433040883843,277.3534704974603,149.31735260656632,0.2910469524642753,60.794713862778565,50.96804301009577
1,compression,Single-Region\vsvbp,837.0,3407.0,216.18260839771602,93.83666666666666,27.366169257134935,2037.6661943684971,306.55679014286005,150.25402512280954,0.2456706780158497,70.7361140055615,74.51822606692332
2,compression,Single-Region\mcf,806.0,3348.0,182.73995389487678,97.43142143273391,26.994807023532797,1293.8591952301654,208.37826398078218,111.89278518872399,0.24074074074074073,45.66138252478678,44.57226503467036
3,compression,Single-Region\cr-o,989.0,3306.0,235.8725999841027,89.89977976190477,26.78516666666666,1941.1323301673815,321.6705484920926,174.78586103343864,0.29915305505142165,78.54707570195438,75.96343784258258
4,compression,Single-Region\cr-h,884.0,3412.0,210.31566216365033,91.30249075554983,26.522828572131612,1945.7933617134495,285.4732777165193,148.00887888616683,0.25908558030480655,65.3321879386432,65.16907190142913
5,dynamic-html,Single-Region\neptune,911.0,3400.0,197.1387279038071,121.8784530143293,45.88465964590965,1447.7577012244292,199.09682021186006,119.6858834420184,0.26794117647058824,45.23149130772997,46.38398788621161
6,dynamic-html,Single-Region\vsvbp,1066.0,3383.0,299.94665910325654,117.25420238095236,42.370289405039415,3134.830691287879,451.0026001183549,223.5186982339179,0.3151049364469406,125.87402129305018,141.52071405860053
7,dynamic-html,Single-Region\mcf,985.0,3374.0,214.25642093642762,116.12991666666666,42.791297619047626,2136.7228035633857,257.37773835813454,139.22437960667918,0.2919383521043272,47.08226274623627,43.581843207838716
8,dynamic-html,Single-Region\cr-o,1063.0,3387.0,307.44554564959304,107.24283333333335,39.62853940186061,6101.6048174603175,563.3242938670619,240.1947828666312,0.31384706229701803,103.71568151293476,122.17649415340304
9,dynamic-html,Single-Region\cr-h,952.0,3407.0,249.9486091912899,106.71250000000002,41.376159557119095,3261.396119047619,382.3549042548885,176.1918024443656,0.27942471382447903,70.76920186811786,103.73529930976645
10,graph-bfs,Single-Region\neptune,9.0,3392.0,100.79599705857888,96.34229617604618,88.91749999999999,215.22798556998555,14.29521133734692,8.565569079889908,0.0026533018867924527,0.6424967886609287,0.46775146553861546
11,graph-bfs,Single-Region\vsvbp,203.0,3377.0,124.20756268482283,96.34341666666668,90.0259642857143,2328.9663106060607,145.93691025821116,31.604631034727124,0.060112525910571514,14.73519183265347,16.723961036899794
12,graph-bfs,Single-Region\mcf,118.0,3318.0,114.79307217153284,97.7673630952381,88.75,1659.6854702380956,90.22502228912286,20.92905921298914,0.03556359252561784,12.298485391074816,16.551333626628598
13,graph-bfs,Single-Region\cr-o,246.0,3341.0,137.2325728458578,95.86440365190366,89.24583333333335,4582.166553571429,249.7208142881445,44.96639303730624,0.07363064950613589,15.947624222949011,28.212603140771694
14,graph-bfs,Single-Region\cr-h,149.0,3385.0,116.3223435646087,95.59737626262628,88.82,1481.2855714285713,101.01264264653364,24.51881505572222,0.04401772525849335,6.675943368089566,8.919596856581588
15,graph-mst,Single-Region\neptune,355.0,3393.0,117.90125655918122,93.06333333333332,58.02039267676768,871.6698571428569,84.0876679045827,46.97442448960978,0.10462717359269083,7.981971401980642,7.553315668129489
16,graph-mst,Single-Region\vsvbp,399.0,3383.0,139.17619496631394,101.57683333333333,59.81581753663005,1875.8762202380956,146.42187561353668,58.876273135152196,0.11794265444871416,22.519827396348255,25.96316872503321
17,graph-mst,Single-Region\mcf,295.0,3362.0,128.47354526037392,100.01189082445333,62.42116017316016,1494.9441547619044,118.24184909142598,48.700832033344504,0.08774538964901844,15.17585238770938,17.44025436465855
18,graph-mst,Single-Region\cr-o,351.0,3263.0,145.6420487676249,99.32125,58.36749999999999,3153.568309523809,218.05746825069272,65.51945473078356,0.10756972111553785,34.427965251996696,42.146062919599565
19,graph-mst,Single-Region\cr-h,210.0,3362.0,134.67635458563728,101.05083682983683,62.77280827505827,3426.013450757576,206.0862221495817,52.442543041300034,0.062462819750148724,34.43754126415606,82.29472851767642
20,thumbnailer,Single-Region\neptune,915.0,3443.0,233.8312757037722,105.64297641941391,57.280814435564444,5068.058055402929,430.7161587965754,158.32701491202943,0.26575660760964276,72.02113258638194,153.6248582208041
21,thumbnailer,Single-Region\vsvbp,707.0,3430.0,184.6264787140946,106.0227514083139,56.462108156562216,3620.219679630877,303.5846091686732,108.4247033612785,0.20612244897959184,38.51947056993149,43.76837123030677
22,thumbnailer,Single-Region\mcf,772.0,3414.0,200.03247582365827,111.53732142857143,56.21300000000001,2975.04133974359,289.1774720817902,119.35818865973692,0.22612770943175162,75.16208182338376,136.66004100251334
23,thumbnailer,Single-Region\cr-o,988.0,3395.0,288.767119353197,111.59904761904761,55.23881547619046,5459.877713203463,568.5361370281965,213.14218573445828,0.29101620029455083,83.50620688688286,105.757561738292
24,thumbnailer,Single-Region\cr-h,823.0,3426.0,258.20946970492594,111.19062680672394,56.56296092394448,4476.895235380117,484.2993989755064,181.7710685789459,0.24022183304144776,117.11370314229531,142.33765648695535
