,function,approach,len,mean,mse
0,compression,Single-Region\neptune,1038.0,1.3873255057803444,98.61267449421965
1,compression,Single-Region\vsvbp,881.0,1.3065934903518732,98.69340650964814
2,compression,Single-Region\mcf,1003.0,1.4235167996011968,98.57648320039881
3,compression,Single-Region\cr-o,847.0,1.349941615197968,98.65005838480204
4,compression,Single-Region\cr-h,941.0,1.3091949415515418,98.69080505844846
5,dynamic-html,Single-Region\neptune,990.0,1.9595158181818166,98.04048418181817
6,dynamic-html,Single-Region\vsvbp,855.0,1.6263507192982452,98.37364928070176
7,dynamic-html,Single-Region\mcf,924.0,1.8831665530303052,98.11683344696971
8,dynamic-html,Single-Region\cr-o,967.0,1.6069331627124028,98.3930668372876
9,dynamic-html,Single-Region\cr-h,900.0,1.8183186333333332,98.18168136666667
10,graph-bfs,Single-Region\neptune,1120.0,1.1879361919642866,98.81206380803572
11,graph-bfs,Single-Region\vsvbp,1044.0,2.6117035919540235,97.38829640804597
12,graph-bfs,Single-Region\mcf,978.0,2.779268548057259,97.22073145194274
13,graph-bfs,Single-Region\cr-o,1102.0,2.7007076873090092,97.299292312691
14,graph-bfs,Single-Region\cr-h,1104.0,2.737030330615941,97.26296966938406
15,graph-mst,Single-Region\neptune,1120.0,0.8108899330357133,99.18911006696429
16,graph-mst,Single-Region\vsvbp,992.0,1.91166706653226,98.08833293346775
17,graph-mst,Single-Region\mcf,1083.0,1.826034699907664,98.17396530009235
18,graph-mst,Single-Region\cr-o,927.0,1.8839248112664957,98.11607518873352
19,graph-mst,Single-Region\cr-h,1055.0,1.824625042654029,98.17537495734598
20,thumbnailer,Single-Region\neptune,1015.0,2.8130789458128045,97.1869210541872
21,thumbnailer,Single-Region\vsvbp,948.0,2.7048693143459905,97.295130685654
22,thumbnailer,Single-Region\mcf,800.0,2.5620575500000022,97.43794245000001
23,thumbnailer,Single-Region\cr-o,934.0,2.8235221609525016,97.1764778390475
24,thumbnailer,Single-Region\cr-h,891.0,2.6423455443322097,97.35765445566778
